Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat
AT,PH,26,14.550072,47.516231,121.774017,12.879721
AU,AM,41,133.775136,-25.274398,45.038189,40.069099
AU,BO,36,133.775136,-25.274398,-63.588653,-16.290154
AU,CO,64,133.775136,-25.274398,-74.297333,4.570868
AU,EC,30,133.775136,-25.274398,-78.183406,-1.831239
AU,GT,24,133.775136,-25.274398,-90.230759,15.783471
AU,HN,22,133.775136,-25.274398,-86.241905,15.199999
AU,ID,26,133.775136,-25.274398,113.921327,-0.789275
AU,IN,24,133.775136,-25.274398,78.96288,20.593684
AU,KE,321,133.775136,-25.274398,37.906193,-0.023559
AU,KG,25,133.775136,-25.274398,74.766098,41.20438
AU,KH,169,133.775136,-25.274398,104.990963,12.565679
AU,LR,27,133.775136,-25.274398,-9.429499,6.428055
AU,ML,22,133.775136,-25.274398,-3.996166,17.570692
AU,MX,20,133.775136,-25.274398,-102.552784,23.634501
AU,NG,37,133.775136,-25.274398,8.675277,9.081999
AU,NI,61,133.775136,-25.274398,-85.207229,12.865416
AU,PE,99,133.775136,-25.274398,-75.015152,-9.189967
AU,PH,507,133.775136,-25.274398,121.774017,12.879721
AU,PK,98,133.775136,-25.274398,69.345116,30.375321
AU,PS,21,133.775136,-25.274398,35.233154,31.952162
AU,PY,20,133.775136,-25.274398,-58.443832,-23.442503
AU,RW,23,133.775136,-25.274398,29.873888,-1.940278
AU,SL,24,133.775136,-25.274398,-11.779889,8.460555
AU,SN,22,133.775136,-25.274398,-14.452362,14.497401
AU,SV,133,133.775136,-25.274398,-88.89653,13.794185
AU,TJ,95,133.775136,-25.274398,71.276093,38.861034
AU,TL,30,133.775136,-25.274398,125.727539,-8.874217
AU,UG,103,133.775136,-25.274398,32.290275,1.373333
AU,VN,56,133.775136,-25.274398,108.277199,14.058324
AU,WS,39,133.775136,-25.274398,-172.104629,-13.759029
CA,AM,56,-106.346771,56.130366,45.038189,40.069099
CA,BO,72,-106.346771,56.130366,-63.588653,-16.290154
CA,CO,91,-106.346771,56.130366,-74.297333,4.570868
CA,EC,74,-106.346771,56.130366,-78.183406,-1.831239
CA,GH,43,-106.346771,56.130366,-1.023194,7.946527
CA,GT,34,-106.346771,56.130366,-90.230759,15.783471
CA,HN,47,-106.346771,56.130366,-86.241905,15.199999
CA,ID,29,-106.346771,56.130366,113.921327,-0.789275
CA,IN,51,-106.346771,56.130366,78.96288,20.593684
CA,JO,25,-106.346771,56.130366,36.238414,30.585164
CA,KE,313,-106.346771,56.130366,37.906193,-0.023559
CA,KG,37,-106.346771,56.130366,74.766098,41.20438
CA,KH,154,-106.346771,56.130366,104.990963,12.565679
CA,LB,27,-106.346771,56.130366,35.862285,33.854721
CA,LR,30,-106.346771,56.130366,-9.429499,6.428055
CA,MG,20,-106.346771,56.130366,46.869107,-18.766947
CA,ML,43,-106.346771,56.130366,-3.996166,17.570692
CA,MX,30,-106.346771,56.130366,-102.552784,23.634501
CA,MZ,20,-106.346771,56.130366,35.529562,-18.665695
CA,NG,49,-106.346771,56.130366,8.675277,9.081999
CA,NI,77,-106.346771,56.130366,-85.207229,12.865416
CA,PE,128,-106.346771,56.130366,-75.015152,-9.189967
CA,PH,472,-106.346771,56.130366,121.774017,12.879721
CA,PK,129,-106.346771,56.130366,69.345116,30.375321
CA,PS,51,-106.346771,56.130366,35.233154,31.952162
CA,PY,52,-106.346771,56.130366,-58.443832,-23.442503
CA,RW,39,-106.346771,56.130366,29.873888,-1.940278
CA,SL,39,-106.346771,56.130366,-11.779889,8.460555
CA,SV,210,-106.346771,56.130366,-88.89653,13.794185
CA,TG,31,-106.346771,56.130366,0.824782,8.619543
CA,TJ,98,-106.346771,56.130366,71.276093,38.861034
CA,TZ,23,-106.346771,56.130366,34.888822,-6.369028
CA,UG,101,-106.346771,56.130366,32.290275,1.373333
CA,VN,48,-106.346771,56.130366,108.277199,14.058324
CA,WS,37,-106.346771,56.130366,-172.104629,-13.759029
CA,ZW,25,-106.346771,56.130366,29.154857,-19.015438
CH,CO,21,8.227512,46.818188,-74.297333,4.570868
CH,KE,44,8.227512,46.818188,37.906193,-0.023559
CH,KH,26,8.227512,46.818188,104.990963,12.565679
CH,PH,103,8.227512,46.818188,121.774017,12.879721
CH,PK,20,8.227512,46.818188,69.345116,30.375321
CH,SV,35,8.227512,46.818188,-88.89653,13.794185
CH,UG,30,8.227512,46.818188,32.290275,1.373333
DE,AM,25,10.451526,51.165691,45.038189,40.069099
DE,BO,28,10.451526,51.165691,-63.588653,-16.290154
DE,CO,61,10.451526,51.165691,-74.297333,4.570868
DE,EC,47,10.451526,51.165691,-78.183406,-1.831239
DE,GT,28,10.451526,51.165691,-90.230759,15.783471
DE,HN,26,10.451526,51.165691,-86.241905,15.199999
DE,IN,21,10.451526,51.165691,78.96288,20.593684
DE,KE,204,10.451526,51.165691,37.906193,-0.023559
DE,KG,24,10.451526,51.165691,74.766098,41.20438
DE,KH,80,10.451526,51.165691,104.990963,12.565679
DE,LB,20,10.451526,51.165691,35.862285,33.854721
DE,NI,30,10.451526,51.165691,-85.207229,12.865416
DE,PE,32,10.451526,51.165691,-75.015152,-9.189967
DE,PH,245,10.451526,51.165691,121.774017,12.879721
DE,PK,70,10.451526,51.165691,69.345116,30.375321
DE,PY,21,10.451526,51.165691,-58.443832,-23.442503
DE,SL,20,10.451526,51.165691,-11.779889,8.460555
DE,SN,53,10.451526,51.165691,-14.452362,14.497401
DE,SV,81,10.451526,51.165691,-88.89653,13.794185
DE,TJ,43,10.451526,51.165691,71.276093,38.861034
DE,UG,67,10.451526,51.165691,32.290275,1.373333
DE,VN,23,10.451526,51.165691,108.277199,14.058324
DK,PH,30,9.501785,56.26392,121.774017,12.879721
ES,PH,28,-3.74922,40.463667,121.774017,12.879721
FI,PH,33,25.748151,61.92411,121.774017,12.879721
FI,SV,20,25.748151,61.92411,-88.89653,13.794185
FR,KE,22,2.213749,46.227638,37.906193,-0.023559
FR,PH,58,2.213749,46.227638,121.774017,12.879721
GB,AM,52,-3.435973,55.378051,45.038189,40.069099
GB,BO,42,-3.435973,55.378051,-63.588653,-16.290154
GB,CO,61,-3.435973,55.378051,-74.297333,4.570868
GB,EC,47,-3.435973,55.378051,-78.183406,-1.831239
GB,GH,25,-3.435973,55.378051,-1.023194,7.946527
GB,IN,25,-3.435973,55.378051,78.96288,20.593684
GB,KE,229,-3.435973,55.378051,37.906193,-0.023559
GB,KH,106,-3.435973,55.378051,104.990963,12.565679
GB,ML,24,-3.435973,55.378051,-3.996166,17.570692
GB,NG,21,-3.435973,55.378051,8.675277,9.081999
GB,NI,35,-3.435973,55.378051,-85.207229,12.865416
GB,PE,87,-3.435973,55.378051,-75.015152,-9.189967
GB,PH,353,-3.435973,55.378051,121.774017,12.879721
GB,PK,86,-3.435973,55.378051,69.345116,30.375321
GB,PS,21,-3.435973,55.378051,35.233154,31.952162
GB,PY,29,-3.435973,55.378051,-58.443832,-23.442503
