CountryCode,MajorSector
AE,Agriculture
AF,Retail
AR,Agriculture
AT,Agriculture
AU,Agriculture
AZ,Agriculture
BD,Services
BE,Agriculture
BG,Agriculture
BM,Education
BN,Food
BR,Agriculture
BS,Food
BV,Food
CA,Agriculture
CH,Retail
CL,Services
CM,Agriculture
CN,Agriculture
CO,Agriculture
CR,Agriculture
CZ,Agriculture
DE,Agriculture
DK,Agriculture
DM,Clothing
DZ,Clothing
EC,Retail
EE,Construction
ES,Agriculture
FI,Food
FR,Retail
GB,Agriculture
GE,Agriculture
GH,Food
GR,Food
GT,Agriculture
GU,Agriculture
HK,Agriculture
HN,Agriculture
HR,Retail
HT,Personal Use
HU,Agriculture
ID,Services
IE,Food
IL,Agriculture
IN,Retail
IR,Agriculture
IS,Agriculture
IT,Agriculture
JO,Personal Use
JP,Agriculture
KE,Agriculture
KH,Agriculture
KR,Food
KW,Retail
KY,Agriculture
KZ,Food
LA,Agriculture
LR,Food
LT,Services
LU,Food
MC,Food
MO,Retail
MT,Education
MX,Housing
MY,Agriculture
NL,Agriculture
NO,Agriculture
NZ,Agriculture
OM,Agriculture
PE,Food
PH,Retail
PK,Retail
PL,Agriculture
PR,Agriculture
PS,Education
PT,Retail
PY,Education
QA,Agriculture
RO,Food
RU,Agriculture
RW,Agriculture
SA,Agriculture
SE,Agriculture
SG,Agriculture
SI,Agriculture
SK,Agriculture
SL,Food
SN,Retail
SV,Food
SZ,Agriculture
TG,Retail
TH,Food
TJ,Agriculture
TR,Food
TV,Food
TW,Food
TZ,Food
UA,Clothing
UG,Agriculture
US,Agriculture
UY,Clothing
VE,Agriculture
VN,Agriculture
VU,Food
YE,Personal Use
ZA,Food
